thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,2,Main,38,0.5782873999996809,up,1,90,up,0.35346938775510206,conf,0.96,1.594624000001204,1.8779889000243268,3.0638517569295267,0,22,M,R,
,,2,Main,39,0.6736936000015703,down,1,270,down,0.333265306122449,conf,0.56,1.0228895999971428,3.229751683037562,2.7366458195885723,0,22,M,R,
,,2,Main,40,0.7663665000000037,down,1,270,down,0.3130612244897959,control,0.48,0.8412105999996129,3.987464662106838,1.4162340527476622,0,22,M,R,
,,2,Main,41,0.8690883000017493,up,1,90,up,0.3130612244897959,conf,0.41999999999999993,0.9558404999988852,2.1734594256143573,1.6540669022299697,0,22,M,R,
,,2,Main,42,1.0985774000000674,down,1,270,down,0.29285714285714287,conf,0.0,0.37298350000128266,2.4700089194879915,2.842440386079747,0,22,M,R,
,,2,Main,43,0.6440581000024395,up,1,90,up,0.29285714285714287,conf,0.30000000000000004,1.013186100000894,4.126880116767696,1.2472257773067525,0,22,M,R,
,,2,Main,44,0.603850200001034,up,1,90,up,0.2726530612244898,conf,0.6000000000000001,1.1659913000003144,2.980809236226538,2.928832439072851,0,22,M,R,
,,2,Main,45,0.924705500001437,down,1,270,down,0.2524489795918367,conf,0.32000000000000006,1.3708757999993395,2.697568826063912,2.6549250506373774,0,22,M,R,
,,3,Main,0,0.9108898999984376,down,0,90,up,0.1716326530612245,conf,-0.19999999999999996,0.7886464999974123,3.3351283760587243,2.4813312370520655,0,22,M,R,
,,3,Main,1,1.3721755999977177,up,0,270,down,0.29285714285714287,conf,0.0,0.37700219999896945,3.639831485631711,1.4726395974332085,0,22,M,R,
,,3,Main,2,0.8293649999977788,down,1,270,down,0.39387755102040817,conf,0.7,1.7693006000008609,4.842576528105063,2.255344083931702,0,22,M,R,
,,3,Main,3,0.6780495999992127,down,1,270,down,0.333265306122449,conf,0.10000000000000009,0.8188627999988967,1.8183826829470326,2.558563608932191,0,22,M,R,
,,3,Main,4,0.8120952999997826,up,1,90,up,0.333265306122449,conf,0.54,0.6331881999976758,4.04268042279983,1.0203914693239615,0,22,M,R,
